[0.000s] Experiment Started
[5.005s] Block 1 Started
[6.006s] Block 1 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[94.088s] Block 1 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[96.090s] Block 1 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[99.093s] Block 1 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[101.095s] Block 1 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[104.097s] Block 1 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[106.099s] Block 1 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[109.102s] Block 1 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[111.104s] Block 1 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[114.107s] Block 1 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[116.109s] Block 1 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[119.111s] Block 1 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[121.113s] Block 1 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[124.116s] Block 1 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[126.118s] Block 1 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[129.121s] Block 1 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[131.123s] Block 1 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[134.126s] Block 1 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[136.127s] Block 1 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[139.130s] Block 1 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[141.132s] Block 1 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[144.135s] Block 1 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[146.137s] Block 1 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[149.139s] Block 1 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[151.141s] Block 1 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[154.144s] Block 1 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[156.146s] Block 1 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[159.149s] Block 1 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[161.151s] Block 1 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[164.154s] Block 1 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[166.156s] Block 1 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[169.158s] Block 1 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[171.160s] Block 1 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[174.163s] Block 1 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[176.165s] Block 1 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[179.168s] Block 1 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[181.169s] Block 1 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[184.172s] Block 1 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[186.174s] Block 1 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[189.177s] Block 1 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[191.179s] Block 1 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[194.182s] Block 1 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[196.184s] Block 1 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[199.186s] Block 1 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[201.188s] Block 1 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[204.191s] Block 1 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[205.192s] Block 1 Ended
[265.198s] Block 2 Started
[266.199s] Block 2 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[269.202s] Block 2 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[271.204s] Block 2 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[274.207s] Block 2 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[276.209s] Block 2 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[279.211s] Block 2 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[281.213s] Block 2 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[284.216s] Block 2 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[286.218s] Block 2 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[289.221s] Block 2 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[291.222s] Block 2 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[294.225s] Block 2 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[296.227s] Block 2 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[299.230s] Block 2 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[301.232s] Block 2 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[304.235s] Block 2 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[306.237s] Block 2 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[309.239s] Block 2 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[311.241s] Block 2 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[314.244s] Block 2 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[316.246s] Block 2 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[319.249s] Block 2 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[321.251s] Block 2 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[324.253s] Block 2 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[326.255s] Block 2 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[329.258s] Block 2 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[331.260s] Block 2 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[334.263s] Block 2 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[336.265s] Block 2 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[339.267s] Block 2 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[341.269s] Block 2 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[344.272s] Block 2 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[346.274s] Block 2 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[349.277s] Block 2 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[351.279s] Block 2 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[354.282s] Block 2 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[356.283s] Block 2 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[359.286s] Block 2 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[361.288s] Block 2 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[364.291s] Block 2 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[366.293s] Block 2 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[369.295s] Block 2 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[371.297s] Block 2 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[374.300s] Block 2 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[376.302s] Block 2 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[379.305s] Block 2 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[381.307s] Block 2 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[384.310s] Block 2 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[386.312s] Block 2 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[389.314s] Block 2 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[391.316s] Block 2 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[394.319s] Block 2 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[396.321s] Block 2 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[399.324s] Block 2 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[401.325s] Block 2 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[404.328s] Block 2 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[406.330s] Block 2 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[409.333s] Block 2 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[411.335s] Block 2 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[414.338s] Block 2 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[416.340s] Block 2 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[419.342s] Block 2 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[421.344s] Block 2 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[424.347s] Block 2 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[426.349s] Block 2 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[429.352s] Block 2 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[431.354s] Block 2 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[434.356s] Block 2 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[436.358s] Block 2 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[439.361s] Block 2 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[441.363s] Block 2 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[444.366s] Block 2 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[446.368s] Block 2 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[449.370s] Block 2 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[451.372s] Block 2 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[454.375s] Block 2 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[456.377s] Block 2 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[459.380s] Block 2 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[461.382s] Block 2 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[464.385s] Block 2 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[465.386s] Block 2 Ended
[525.392s] Block 3 Started
[526.393s] Block 3 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[529.394s] Block 3 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[531.428s] Block 3 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[534.444s] Block 3 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[536.477s] Block 3 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[539.494s] Block 3 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[541.527s] Block 3 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[544.543s] Block 3 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[546.545s] Block 3 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[549.548s] Block 3 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[551.549s] Block 3 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[554.552s] Block 3 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[556.554s] Block 3 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[559.557s] Block 3 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[561.559s] Block 3 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[564.562s] Block 3 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[566.564s] Block 3 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[569.566s] Block 3 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[571.568s] Block 3 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[574.571s] Block 3 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[576.573s] Block 3 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[579.576s] Block 3 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[581.577s] Block 3 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[584.580s] Block 3 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[586.582s] Block 3 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[589.585s] Block 3 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[591.587s] Block 3 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[594.590s] Block 3 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[596.592s] Block 3 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[599.594s] Block 3 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[601.596s] Block 3 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[604.599s] Block 3 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[606.601s] Block 3 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[609.604s] Block 3 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[611.606s] Block 3 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[614.608s] Block 3 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[616.610s] Block 3 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[619.613s] Block 3 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[621.615s] Block 3 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[624.618s] Block 3 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[626.620s] Block 3 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[629.623s] Block 3 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[631.624s] Block 3 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[634.627s] Block 3 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[636.629s] Block 3 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[639.632s] Block 3 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[641.634s] Block 3 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[644.637s] Block 3 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[646.638s] Block 3 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[649.641s] Block 3 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[651.643s] Block 3 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[654.646s] Block 3 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[656.648s] Block 3 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[659.651s] Block 3 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[661.652s] Block 3 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[664.655s] Block 3 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[666.657s] Block 3 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[669.660s] Block 3 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[671.662s] Block 3 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[674.665s] Block 3 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[676.667s] Block 3 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[679.669s] Block 3 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[681.671s] Block 3 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[684.674s] Block 3 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[686.676s] Block 3 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[689.679s] Block 3 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[691.680s] Block 3 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[694.683s] Block 3 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[696.685s] Block 3 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[699.688s] Block 3 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[701.690s] Block 3 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[704.693s] Block 3 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[706.695s] Block 3 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[709.697s] Block 3 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[711.699s] Block 3 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[714.702s] Block 3 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[716.704s] Block 3 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[719.707s] Block 3 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[721.709s] Block 3 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[724.711s] Block 3 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[725.712s] Block 3 Ended
[785.719s] Block 4 Started
[786.720s] Block 4 | Stimulus 1 | Trial 1 | Freq 8Hz - Started
[789.722s] Block 4 | Stimulus 1 | Trial 1 | Freq 8Hz - Ended
[791.724s] Block 4 | Stimulus 1 | Trial 2 | Freq 8Hz - Started
[794.727s] Block 4 | Stimulus 1 | Trial 2 | Freq 8Hz - Ended
[796.729s] Block 4 | Stimulus 1 | Trial 3 | Freq 8Hz - Started
[799.732s] Block 4 | Stimulus 1 | Trial 3 | Freq 8Hz - Ended
[801.734s] Block 4 | Stimulus 1 | Trial 4 | Freq 8Hz - Started
[804.736s] Block 4 | Stimulus 1 | Trial 4 | Freq 8Hz - Ended
[806.738s] Block 4 | Stimulus 1 | Trial 5 | Freq 8Hz - Started
[809.741s] Block 4 | Stimulus 1 | Trial 5 | Freq 8Hz - Ended
[811.743s] Block 4 | Stimulus 1 | Trial 6 | Freq 8Hz - Started
[814.746s] Block 4 | Stimulus 1 | Trial 6 | Freq 8Hz - Ended
[816.748s] Block 4 | Stimulus 1 | Trial 7 | Freq 8Hz - Started
[819.750s] Block 4 | Stimulus 1 | Trial 7 | Freq 8Hz - Ended
[821.752s] Block 4 | Stimulus 1 | Trial 8 | Freq 8Hz - Started
[824.755s] Block 4 | Stimulus 1 | Trial 8 | Freq 8Hz - Ended
[826.757s] Block 4 | Stimulus 1 | Trial 9 | Freq 8Hz - Started
[829.760s] Block 4 | Stimulus 1 | Trial 9 | Freq 8Hz - Ended
[831.762s] Block 4 | Stimulus 1 | Trial 10 | Freq 8Hz - Started
[834.764s] Block 4 | Stimulus 1 | Trial 10 | Freq 8Hz - Ended
[836.766s] Block 4 | Stimulus 2 | Trial 1 | Freq 10Hz - Started
[839.769s] Block 4 | Stimulus 2 | Trial 1 | Freq 10Hz - Ended
[841.771s] Block 4 | Stimulus 2 | Trial 2 | Freq 10Hz - Started
[844.774s] Block 4 | Stimulus 2 | Trial 2 | Freq 10Hz - Ended
[846.776s] Block 4 | Stimulus 2 | Trial 3 | Freq 10Hz - Started
[849.779s] Block 4 | Stimulus 2 | Trial 3 | Freq 10Hz - Ended
[851.780s] Block 4 | Stimulus 2 | Trial 4 | Freq 10Hz - Started
[854.783s] Block 4 | Stimulus 2 | Trial 4 | Freq 10Hz - Ended
[856.785s] Block 4 | Stimulus 2 | Trial 5 | Freq 10Hz - Started
[859.788s] Block 4 | Stimulus 2 | Trial 5 | Freq 10Hz - Ended
[861.790s] Block 4 | Stimulus 2 | Trial 6 | Freq 10Hz - Started
[864.793s] Block 4 | Stimulus 2 | Trial 6 | Freq 10Hz - Ended
[866.794s] Block 4 | Stimulus 2 | Trial 7 | Freq 10Hz - Started
[869.797s] Block 4 | Stimulus 2 | Trial 7 | Freq 10Hz - Ended
[871.799s] Block 4 | Stimulus 2 | Trial 8 | Freq 10Hz - Started
[874.802s] Block 4 | Stimulus 2 | Trial 8 | Freq 10Hz - Ended
[876.804s] Block 4 | Stimulus 2 | Trial 9 | Freq 10Hz - Started
[879.807s] Block 4 | Stimulus 2 | Trial 9 | Freq 10Hz - Ended
[881.808s] Block 4 | Stimulus 2 | Trial 10 | Freq 10Hz - Started
[884.811s] Block 4 | Stimulus 2 | Trial 10 | Freq 10Hz - Ended
[886.813s] Block 4 | Stimulus 3 | Trial 1 | Freq 12Hz - Started
[889.816s] Block 4 | Stimulus 3 | Trial 1 | Freq 12Hz - Ended
[891.818s] Block 4 | Stimulus 3 | Trial 2 | Freq 12Hz - Started
[894.821s] Block 4 | Stimulus 3 | Trial 2 | Freq 12Hz - Ended
[896.823s] Block 4 | Stimulus 3 | Trial 3 | Freq 12Hz - Started
[899.825s] Block 4 | Stimulus 3 | Trial 3 | Freq 12Hz - Ended
[901.827s] Block 4 | Stimulus 3 | Trial 4 | Freq 12Hz - Started
[904.830s] Block 4 | Stimulus 3 | Trial 4 | Freq 12Hz - Ended
[906.832s] Block 4 | Stimulus 3 | Trial 5 | Freq 12Hz - Started
[909.835s] Block 4 | Stimulus 3 | Trial 5 | Freq 12Hz - Ended
[911.836s] Block 4 | Stimulus 3 | Trial 6 | Freq 12Hz - Started
[914.839s] Block 4 | Stimulus 3 | Trial 6 | Freq 12Hz - Ended
[916.841s] Block 4 | Stimulus 3 | Trial 7 | Freq 12Hz - Started
[919.844s] Block 4 | Stimulus 3 | Trial 7 | Freq 12Hz - Ended
[921.846s] Block 4 | Stimulus 3 | Trial 8 | Freq 12Hz - Started
[924.849s] Block 4 | Stimulus 3 | Trial 8 | Freq 12Hz - Ended
[926.851s] Block 4 | Stimulus 3 | Trial 9 | Freq 12Hz - Started
[929.854s] Block 4 | Stimulus 3 | Trial 9 | Freq 12Hz - Ended
[931.855s] Block 4 | Stimulus 3 | Trial 10 | Freq 12Hz - Started
[934.858s] Block 4 | Stimulus 3 | Trial 10 | Freq 12Hz - Ended
[936.860s] Block 4 | Stimulus 4 | Trial 1 | Freq 15Hz - Started
[939.863s] Block 4 | Stimulus 4 | Trial 1 | Freq 15Hz - Ended
[941.865s] Block 4 | Stimulus 4 | Trial 2 | Freq 15Hz - Started
[944.867s] Block 4 | Stimulus 4 | Trial 2 | Freq 15Hz - Ended
[946.869s] Block 4 | Stimulus 4 | Trial 3 | Freq 15Hz - Started
[949.872s] Block 4 | Stimulus 4 | Trial 3 | Freq 15Hz - Ended
[951.874s] Block 4 | Stimulus 4 | Trial 4 | Freq 15Hz - Started
[954.877s] Block 4 | Stimulus 4 | Trial 4 | Freq 15Hz - Ended
[956.879s] Block 4 | Stimulus 4 | Trial 5 | Freq 15Hz - Started
[959.882s] Block 4 | Stimulus 4 | Trial 5 | Freq 15Hz - Ended
[961.883s] Block 4 | Stimulus 4 | Trial 6 | Freq 15Hz - Started
[964.886s] Block 4 | Stimulus 4 | Trial 6 | Freq 15Hz - Ended
[966.888s] Block 4 | Stimulus 4 | Trial 7 | Freq 15Hz - Started
[969.891s] Block 4 | Stimulus 4 | Trial 7 | Freq 15Hz - Ended
[971.893s] Block 4 | Stimulus 4 | Trial 8 | Freq 15Hz - Started
[974.896s] Block 4 | Stimulus 4 | Trial 8 | Freq 15Hz - Ended
[976.898s] Block 4 | Stimulus 4 | Trial 9 | Freq 15Hz - Started
[979.900s] Block 4 | Stimulus 4 | Trial 9 | Freq 15Hz - Ended
[981.902s] Block 4 | Stimulus 4 | Trial 10 | Freq 15Hz - Started
[984.905s] Block 4 | Stimulus 4 | Trial 10 | Freq 15Hz - Ended
[985.906s] Block 4 Ended
[985.923s] Experiment Ended
